country,iso3,region,HealthExpPC.Govt.exch,HealthExpPC.Tot.ppp,HealthExpPC.Govt.ppp,HealthExpPC.Tot.exch,total,govt,private,sex,lifeexp.Birth,lifeexp.At60,smoking.tobacco.current,smoking.tobacco.daily,smoking.cig.current,smoking.cig.daily,Pop.Total,Pop.MedAge,Pop.pCntUnder15,Pop.pCntOver60,Pop.pCntAnnGrowth,consumption.cigPC,hiv_prev15_49
Chile,CHL,AMR,504.53,1292.2,606.74,1074.52,1292.2,606.74,685.46,MLE,76,21,38,36,37,35,17465,32.76,21.38,13.8,-0.9,860,0.5
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,AMR,504.53,1292.2,606.74,1074.52,1292.2,606.74,685.46,FMLE,82,25,33,33,30,29,17465,32.76,21.38,13.8,-0.9,860,0.5
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,AMR,504.53,1292.2,606.74,1074.52,1292.2,606.74,685.46,BTSX,79,23,35,34,34,32,17465,32.76,21.38,13.8,-0.9,860,0.5
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,WPR,155.39,432.28,241.6,278.02,432.28,241.6,190.68,BTSX,76,20,27,23,26,22,1390000,35.12,17.95,13.42,-0.7,1711,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,WPR,155.39,432.28,241.6,278.02,432.28,241.6,190.68,MLE,74,19,51,44,50,43,1390000,35.12,17.95,13.42,-0.7,1711,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,WPR,155.39,432.28,241.6,278.02,432.28,241.6,190.68,FMLE,77,21,2,2,2,2,1390000,35.12,17.95,13.42,-0.7,1711,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,CIV,AFR,21.14,119.89,31.91,79.43,119.89,31.91,87.98,FMLE,58,17,4,3,0,0,19840,18.96,41.48,5.1,-2.3,148,3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,CIV,AFR,21.14,119.89,31.91,79.43,119.89,31.91,87.98,BTSX,56,17,10,9,7,5,19840,18.96,41.48,5.1,-2.3,148,3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,CIV,AFR,21.14,119.89,31.91,79.43,119.89,31.91,87.98,MLE,55,16,17,14,13,10,19840,18.96,41.48,5.1,-2.3,148,3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,AFR,21.23,127.92,39.79,68.24,127.92,39.79,88.13,BTSX,53,16,8,6,6,5,21700,18.18,43.08,4.89,-2.5,93,4.6
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,AFR,21.23,127.92,39.79,68.24,127.92,39.79,88.13,MLE,51,15,14,11,11,9,21700,18.18,43.08,4.89,-2.5,93,4.6
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,AFR,21.23,127.92,39.79,68.24,127.92,39.79,88.13,FMLE,54,17,2,1,0,0,21700,18.18,43.08,4.89,-2.5,93,4.6
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
DR Congo,COD,AFR,6.66,32.09,10.83,19.73,32.09,10.83,21.26,FMLE,51,16,2,1,0,0,65705,17.27,45.11,4.51,-2.7,105,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
DR Congo,COD,AFR,6.66,32.09,10.83,19.73,32.09,10.83,21.26,MLE,48,15,10,8,9,6,65705,17.27,45.11,4.51,-2.7,105,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
DR Congo,COD,AFR,6.66,32.09,10.83,19.73,32.09,10.83,21.26,BTSX,49,15,6,5,5,3,65705,17.27,45.11,4.51,-2.7,105,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Congo,COG,AFR,58.7,108.64,72.99,87.38,108.64,72.99,35.65,MLE,57,16,10,7,8,6,4337,18.81,42.37,5.13,-2.6,NA,3.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Congo,COG,AFR,58.7,108.64,72.99,87.38,108.64,72.99,35.65,FMLE,59,18,0,0,0,0,4337,18.81,42.37,5.13,-2.6,NA,3.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Congo,COG,AFR,58.7,108.64,72.99,87.38,108.64,72.99,35.65,BTSX,58,17,5,4,4,3,4337,18.81,42.37,5.13,-2.6,NA,3.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,COK,WPR,568.17,495.23,458.1,614.22,495.23,458.1,37.13,BTSX,77,23,37,33,37,33,21,NA,30.61,9.07,-4.9,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,COK,WPR,568.17,495.23,458.1,614.22,495.23,458.1,37.13,MLE,73,19,43,37,43,37,21,NA,30.61,9.07,-4.9,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,COK,WPR,568.17,495.23,458.1,614.22,495.23,458.1,37.13,FMLE,82,26,31,28,31,28,21,NA,30.61,9.07,-4.9,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,AMR,323.31,617.89,462.48,431.95,617.89,462.48,155.41,MLE,74,23,NA,NA,NA,NA,47704,27.4,28.03,9.19,-1.3,412,0.5
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,AMR,323.31,617.89,462.48,431.95,617.89,462.48,155.41,BTSX,78,24,NA,NA,NA,NA,47704,27.4,28.03,9.19,-1.3,412,0.5
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,AMR,323.31,617.89,462.48,431.95,617.89,462.48,155.41,FMLE,81,25,NA,NA,NA,NA,47704,27.4,28.03,9.19,-1.3,412,0.5
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM,AFR,24.6,58.76,33.98,42.55,58.76,33.98,24.78,FMLE,63,17,9,8,4,2,718,19.08,42.17,4.5,-2.5,583,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM,AFR,24.6,58.76,33.98,42.55,58.76,33.98,24.78,BTSX,62,16,17,14,11,9,718,19.08,42.17,4.5,-2.5,583,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM,AFR,24.6,58.76,33.98,42.55,58.76,33.98,24.78,MLE,60,15,24,19,19,15,718,19.08,42.17,4.5,-2.5,583,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,CPV,AFR,118.63,171.69,128.9,158,171.69,128.9,42.79,BTSX,72,19,8,6,5,4,494,23.71,30.17,7.05,-0.6,339,1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,CPV,AFR,118.63,171.69,128.9,158,171.69,128.9,42.79,MLE,68,18,14,10,10,7,494,23.71,30.17,7.05,-0.6,339,1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,CPV,AFR,118.63,171.69,128.9,158,171.69,128.9,42.79,FMLE,76,21,3,3,0,0,494,23.71,30.17,7.05,-0.6,339,1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,AMR,660.89,1329.81,932.11,942.87,1329.81,932.11,397.7,FMLE,81,25,8,3,8,3,4805,29.29,23.94,10.15,-1.4,529,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,AMR,660.89,1329.81,932.11,942.87,1329.81,932.11,397.7,BTSX,79,23,16,6,16,6,4805,29.29,23.94,10.15,-1.4,529,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,AMR,660.89,1329.81,932.11,942.87,1329.81,932.11,397.7,MLE,77,22,24,10,24,10,4805,29.29,23.94,10.15,-1.4,529,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,AMR,573.84,429.84,406.98,606.08,429.84,406.98,22.86,FMLE,80,23,NA,NA,NA,NA,11271,39.57,16.58,17.95,0,1261,0.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,AMR,573.84,429.84,406.98,606.08,429.84,406.98,22.86,BTSX,78,22,NA,NA,NA,NA,11271,39.57,16.58,17.95,0,1261,0.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,AMR,573.84,429.84,406.98,606.08,429.84,406.98,22.86,MLE,76,21,NA,NA,NA,NA,11271,39.57,16.58,17.95,0,1261,0.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,EUR,918.62,2221.09,960.97,2123.19,2221.09,960.97,1260.12,BTSX,81,24,NA,NA,NA,NA,1129,34.88,17.16,16.92,-1.1,1620,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,EUR,918.62,2221.09,960.97,2123.19,2221.09,960.97,1260.12,MLE,79,23,NA,NA,NA,NA,1129,34.88,17.16,16.92,-1.1,1620,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,EUR,918.62,2221.09,960.97,2123.19,2221.09,960.97,1260.12,FMLE,84,25,NA,NA,NA,NA,1129,34.88,17.16,16.92,-1.1,1620,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,EUR,1258.35,1922.85,1605.69,1506.91,1922.85,1605.69,317.16,FMLE,81,23,31,21,23,20,10660,40.07,14.56,23.23,-0.5,2125,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,EUR,1258.35,1922.85,1605.69,1506.91,1922.85,1605.69,317.16,BTSX,78,22,37,27,29,26,10660,40.07,14.56,23.23,-0.5,2125,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,EUR,1258.35,1922.85,1605.69,1506.91,1922.85,1605.69,317.16,MLE,75,19,43,33,36,32,10660,40.07,14.56,23.23,-0.5,2125,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,EUR,3697.89,4371.42,3315.91,4874.99,4371.42,3315.91,1055.51,BTSX,81,24,29,25,29,25,82800,45.09,13.17,26.72,0.1,1045,0.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,EUR,3697.89,4371.42,3315.91,4874.99,4371.42,3315.91,1055.51,FMLE,83,25,25,21,25,21,82800,45.09,13.17,26.72,0.1,1045,0.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,EUR,3697.89,4371.42,3315.91,4874.99,4371.42,3315.91,1055.51,MLE,78,22,33,29,33,29,82800,45.09,13.17,26.72,0.1,1045,0.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,EMR,71.63,193.32,131.63,105.2,193.32,131.63,61.69,MLE,57,15,NA,NA,NA,NA,860,22.55,33.72,5.96,-1.5,309,1.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,EMR,71.63,193.32,131.63,105.2,193.32,131.63,61.69,BTSX,58,15,NA,NA,NA,NA,860,22.55,33.72,5.96,-1.5,309,1.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,EMR,71.63,193.32,131.63,105.2,193.32,131.63,61.69,FMLE,60,16,NA,NA,NA,NA,860,22.55,33.72,5.96,-1.5,309,1.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,AMR,301.17,743.62,535.8,417.98,743.62,535.8,207.82,BTSX,74,21,7,5,7,5,72,NA,25.96,12.35,-1.4,339,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,AMR,301.17,743.62,535.8,417.98,743.62,535.8,207.82,MLE,72,21,11,7,10,7,72,NA,25.96,12.35,-1.4,339,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,AMR,301.17,743.62,535.8,417.98,743.62,535.8,207.82,FMLE,77,22,4,3,3,3,72,NA,25.96,12.35,-1.4,339,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,EUR,5661.12,4563.73,3886.42,6647.72,4563.73,3886.42,677.31,BTSX,79,23,29,21,29,21,5598,40.95,17.66,23.9,-0.4,1413,0.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,EUR,5661.12,4563.73,3886.42,6647.72,4563.73,3886.42,677.31,MLE,77,21,30,22,30,22,5598,40.95,17.66,23.9,-0.4,1413,0.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,EUR,5661.12,4563.73,3886.42,6647.72,4563.73,3886.42,677.31,FMLE,82,24,28,21,28,21,5598,40.95,17.66,23.9,-0.4,1413,0.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,AMR,145.86,529.07,260.99,295.69,529.07,260.99,268.08,BTSX,73,20,15,13,13,11,10277,25.53,30.53,8.97,-1.3,234,0.7
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,AMR,145.86,529.07,260.99,295.69,529.07,260.99,268.08,FMLE,73,20,13,11,11,9,10277,25.53,30.53,8.97,-1.3,234,0.7
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,AMR,145.86,529.07,260.99,295.69,529.07,260.99,268.08,MLE,72,20,17,14,16,12,10277,25.53,30.53,8.97,-1.3,234,0.7
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,AFR,181.56,373.61,301.71,224.82,373.61,301.71,71.9,FMLE,74,20,NA,NA,NA,NA,38482,26.62,27.42,7.17,-1.9,775,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,AFR,181.56,373.61,301.71,224.82,373.61,301.71,71.9,BTSX,73,19,NA,NA,NA,NA,38482,26.62,27.42,7.17,-1.9,775,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,AFR,181.56,373.61,301.71,224.82,373.61,301.71,71.9,MLE,71,18,NA,NA,NA,NA,38482,26.62,27.42,7.17,-1.9,775,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,AMR,135.95,615.81,252.53,331.51,615.81,252.53,363.28,MLE,73,22,NA,NA,NA,NA,15492,25.83,30.29,9.21,-1.6,227,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,AMR,135.95,615.81,252.53,331.51,615.81,252.53,363.28,BTSX,76,23,NA,NA,NA,NA,15492,25.83,30.29,9.21,-1.6,227,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,AMR,135.95,615.81,252.53,331.51,615.81,252.53,363.28,FMLE,79,24,NA,NA,NA,NA,15492,25.83,30.29,9.21,-1.6,227,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Egypt,EGY,EMR,55.27,309.64,125.32,136.58,309.64,125.32,184.32,BTSX,73,18,20,19,17,16,80722,24.93,31.25,8.62,-1.7,1104,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Egypt,EGY,EMR,55.27,309.64,125.32,136.58,309.64,125.32,184.32,MLE,71,17,40,38,33,32,80722,24.93,31.25,8.62,-1.7,1104,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Egypt,EGY,EMR,55.27,309.64,125.32,136.58,309.64,125.32,184.32,FMLE,75,20,0,0,0,0,80722,24.93,31.25,8.62,-1.7,1104,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,AFR,6.78,16.99,8.29,13.9,16.99,8.29,8.7,FMLE,64,16,2,1,0,0,6131,18.37,43.1,3.73,-3.3,74,0.6
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,AFR,6.78,16.99,8.29,13.9,16.99,8.29,8.7,MLE,59,13,10,8,9,6,6131,18.37,43.1,3.73,-3.3,74,0.6
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,AFR,6.78,16.99,8.29,13.9,16.99,8.29,8.7,BTSX,61,15,6,5,5,3,6131,18.37,43.1,3.73,-3.3,74,0.6
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,EUR,2227.45,3040.78,2237.85,3026.65,3040.78,2237.85,802.93,MLE,79,22,36,32,36,32,46755,40.99,15.2,22.86,-0.5,1757,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,EUR,2227.45,3040.78,2237.85,3026.65,3040.78,2237.85,802.93,FMLE,85,27,27,23,27,23,46755,40.99,15.2,22.86,-0.5,1757,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,EUR,2227.45,3040.78,2237.85,3026.65,3040.78,2237.85,802.93,BTSX,82,25,32,28,32,28,46755,40.99,15.2,22.86,-0.5,1757,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,EUR,778.49,1334.41,1052.65,986.86,1334.41,1052.65,281.76,MLE,71,18,46,37,46,37,1291,40.78,15.69,23.92,0.2,1523,1.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,EUR,778.49,1334.41,1052.65,986.86,1334.41,1052.65,281.76,BTSX,76,22,34,27,34,27,1291,40.78,15.69,23.92,0.2,1523,1.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,EUR,778.49,1334.41,1052.65,986.86,1334.41,1052.65,281.76,FMLE,81,24,23,16,23,16,1291,40.78,15.69,23.92,0.2,1523,1.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,AFR,9.59,51.96,30,16.61,51.96,30,21.96,FMLE,62,18,0,0,0,0,91729,17.93,43.29,5.17,-2.6,42,1.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,AFR,9.59,51.96,30,16.61,51.96,30,21.96,MLE,59,16,8,5,8,5,91729,17.93,43.29,5.17,-2.6,42,1.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,AFR,9.59,51.96,30,16.61,51.96,30,21.96,BTSX,60,17,4,3,4,3,91729,17.93,43.29,5.17,-2.6,42,1.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,EUR,3234.87,3332.16,2492.02,4325.46,3332.16,2492.02,840.14,FMLE,84,26,22,14,22,14,5408,42.24,16.42,25.9,-0.4,671,0.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,EUR,3234.87,3332.16,2492.02,4325.46,3332.16,2492.02,840.14,BTSX,81,24,25,17,25,17,5408,42.24,16.42,25.9,-0.4,671,0.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,EUR,3234.87,3332.16,2492.02,4325.46,3332.16,2492.02,840.14,MLE,78,22,28,20,28,20,5408,42.24,16.42,25.9,-0.4,671,0.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,WPR,114.38,183.01,124.72,167.84,183.01,124.72,58.29,FMLE,72,18,3,2,3,2,875,26.88,28.88,8.38,-0.8,530,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,WPR,114.38,183.01,124.72,167.84,183.01,124.72,58.29,BTSX,70,17,10,8,10,8,875,26.88,28.88,8.38,-0.8,530,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,WPR,114.38,183.01,124.72,167.84,183.01,124.72,58.29,MLE,67,15,18,14,18,14,875,26.88,28.88,8.38,-0.8,530,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,EUR,3800.19,4085.48,3135.22,4952,4085.48,3135.22,950.26,FMLE,85,27,27,24,27,24,63937,40.43,18.26,23.82,-0.6,854,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,EUR,3800.19,4085.48,3135.22,4952,4085.48,3135.22,950.26,MLE,78,23,36,30,36,30,63937,40.43,18.26,23.82,-0.6,854,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,EUR,3800.19,4085.48,3135.22,4952,4085.48,3135.22,950.26,BTSX,82,25,31,27,31,27,63937,40.43,18.26,23.82,-0.6,854,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,FSM,WPR,347.35,461.5,418.96,382.62,461.5,418.96,42.54,FMLE,70,18,18,13,18,13,103,20.73,35.81,6.67,0,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,FSM,WPR,347.35,461.5,418.96,382.62,461.5,418.96,42.54,MLE,67,16,30,25,30,25,103,20.73,35.81,6.67,0,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,FSM,WPR,347.35,461.5,418.96,382.62,461.5,418.96,42.54,BTSX,69,17,24,19,24,19,103,20.73,35.81,6.67,0,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,AFR,191.51,514.53,275.01,358.3,514.53,275.01,239.52,FMLE,64,19,3,2,2,1,1633,20.66,38.49,7.38,-2.4,501,5
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,AFR,191.51,514.53,275.01,358.3,514.53,275.01,239.52,MLE,61,17,19,16,15,12,1633,20.66,38.49,7.38,-2.4,501,5
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,AFR,191.51,514.53,275.01,358.3,514.53,275.01,239.52,BTSX,62,18,11,9,9,7,1633,20.66,38.49,7.38,-2.4,501,5
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,EUR,2984.32,3321.67,2746.99,3608.65,3321.67,2746.99,574.68,MLE,79,22,25,17,25,17,62783,40.07,17.54,23.06,-0.6,750,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,EUR,2984.32,3321.67,2746.99,3608.65,3321.67,2746.99,574.68,FMLE,82,25,23,16,23,16,62783,40.07,17.54,23.06,-0.6,750,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,EUR,2984.32,3321.67,2746.99,3608.65,3321.67,2746.99,574.68,BTSX,80,24,24,16,24,16,62783,40.07,17.54,23.06,-0.6,750,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,EUR,72.59,564.01,124.73,328.26,564.01,124.73,439.28,FMLE,76,20,6,4,6,4,4358,37.43,17.62,19.47,0.4,1039,0.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
